"Attribute","Weight"
"sqft_living",0.16435463371936793
"sqft_above",0.13394204865258438
"waterfront",0.11145953315718819
"bathrooms",0.11125368660558665
"sqft_basement",0.0904565584344807
"grade",0.09043009796684019
"view",0.06712464417569246
"sqft_living15",0.0641402391001341
"bedrooms",0.04339906749270164
"yr_renovated",0.02437228281953689
"floors",0.020254414187221768
"zipcode",0.015795621168736704
"yr_built",0.013236041103772512
"lat",0.011240603333204249
"condition",0.008792986802064973
"sqft_lot",0.007735598553437825
"sqft_lot15",0.007556175000637385
"long",0.00287655009734255
